55.031292517006804	55.031292517006804	1
327.3317006802721	327.3317006802721	2
343.56244897959186	343.56244897959186	3
365.7607256235828	365.7607256235828	4
385.9156462585034	385.9156462585034	5
403.7253514739229	403.7253514739229	6
421.27963718820865	421.27963718820865	7
437.5800453514739	437.5800453514739	8
455.1807709750567	455.1807709750567	9
471.52761904761905	471.52761904761905	10
475.52145124716554	475.52145124716554	11
487.1082086167801	487.1082086167801	12
504.82503401360543	504.82503401360543	13
520.9396825396825	520.9396825396825	14
537.5419501133787	537.5419501133787	15
553.9584580498866	553.9584580498866	16
571.4663038548753	571.4663038548753	17
588.3472108843538	588.3472108843538	18
592.8286621315193	592.8286621315193	19
605.2513378684807	605.2513378684807	20
632.7902040816326	632.7902040816326	21
